ID;ТУ;ДАТА;ПРОЕКТ;ЗАДАЧА;СОДЕРЖАНИЕ;РЕЗУЛЬТАТ;МЕСТО;ОЧТЕТ;ИНФО
836;АЭР;04.12.17;Глобус ТО;Договор;подготовка;ок;офис АЭР;;
837;АЭР;04.12.17;Ростелеком;Техсопровождение; -;ок;офис АЭР;;
838;АЭР;04.12.17;СК Энергосбыт;ПИР; -;ок;офис АЭР;;
839;АЭР;04.12.17;СК Энергосбыт;Комплектация;Сборка;ок;офис АЭР;;
840;АЭР;04.12.17;СК Энергосбыт;МНР;подготовка;ок;офис АЭР;;
841;АЭР;05.12.17;СК Энергосбыт;МНР; -;неокончено;командировка;;
842;АЭР;06.12.17;СК Энергосбыт;МНР; -;неокончено;командировка;;
843;АЭР;07.12.17;СК Энергосбыт;МНР; -;неокончено;командировка;;
844;АЭР;08.12.17;СК Энергосбыт;МНР; -;ок;командировка;;
845;АЭР;11.12.17;СК Энергосбыт;МО;поверка ТН;неокончено;офис АЭР;;
846;АЭР;11.12.17;Т Плюс Самарский;МНР; -;неокончено;офис АЭР;;
847;АЭР;11.12.17;Ростелеком;Техсопровождение; -;ок;офис АЭР;;
848;АЭР;11.12.17;НМОУ;ПИР;техприсоединение;неокончено;офис АЭР;;
849;АЭР;12.12.17;НМОУ;ПИР;техприсоединение;неокончено;офис АЭР;;
850;АЭР;12.12.17;Т Плюс Самарский;МНР;Переговоры с подрядчиком;неокончено;офис АЭР;;
851;АЭР;12.12.17;СК Энергосбыт;МНР;организация поверки ТН Каскад;неокончено;офис АЭР;;
852;АЭР;12.12.17;Т Плюс Самарский;МНР;Переговоры с подрядчиком;неокончено;офис АЭР;;
853;АЭР;12.12.17; -;Развитие;СРО;неокончено;офис АЭР;;
854;АЭР;12.12.17;НМОУ;ПИР;техконтроль;ок;офис АЭР;;
855;ЭА;12.12.17;ЗГАЭС-2;ПИР; -;неокончено;офис АЭР;;
856;АЭР;12.12.17; -;Техника;ИБП;неокончено;офис АЭР;;
857;АЭР;13.12.17; -; -; -;ок;офис АЭР;;
858;АЭР;14.12.17; -; -; -;ок;офис АЭР;;
859;АЭР;15.12.17;Т Плюс Самарский; -; -;ок;офис АЭР;;
860;АЭР;18.12.17;Т Плюс Самарский;СМР; -;ок;офис АЭР;;
861;АЭР;19.12.17;Т Плюс Самарский;СМР;Переговоры с подрядчиком;ок;офис АЭР;;
862;АЭР;19.12.17;СК Энергосбыт; -; -;неокончено;офис АЭР;;
863;АЭР;20.12.17;СК Энергосбыт;МНР;поверка ТН;ок;офис АЭР;;
864;АЭР;20.12.17;Т Плюс Самарский;СМР; -;неокончено;офис АЭР;;
865;АЭР;20.12.17;Т Плюс Самарский;Сдача работ; -;неокончено;офис АЭР;;БТЭЦ
866;АЭР;20.12.17;Т Плюс Самарский;Комплектация;расчеты с поставщиком;неокончено;офис АЭР;;Минимакс
867;АЭР;20.12.17;СК Энергосбыт;ПИР; -;неокончено;офис АЭР;;
868;АЭР;20.12.17; -;Документы;запрос ИФНС;ок;офис АЭР;;
869;АЭР;21.12.17;Т Плюс Самарский;СМР; -;неокончено;офис АЭР;;
870;АЭР;21.12.17;Т Плюс Самарский;Сдача работ; -;неокончено;офис АЭР;;БТЭЦ
871;АЭР;21.12.17;СК Энергосбыт;Документы;подписание схем;ок;офис АЭР;;
872;АЭР;21.12.17;Т Плюс Самарский;Персонал;Договоры;ок;офис АЭР;;
873;АЭР;21.12.17;ПС 330кВ Ломоносовская;ТКП; -;ок;офис АЭР;;
874;АЭР;21.12.17;Т Плюс Самарский;СМР;Ревизия хода работ;неокончено;офис АЭР;;
875;АЭР;22.12.17;РН Энерго;Конкурс; -;ок;офис АЭР;;
876;АЭР;22.12.17;РН Энерго;Конкурс;доставка документации;ок;командировка;;
877;АЭР;22.12.17;Т Плюс Самарский;СМР;организация работ;ок;офис АЭР;;
878;АЭР;22.12.17;СК Энергосбыт;АТС;ревизия документации;неокончено;офис АЭР;;
879;АЭР;22.12.17;Т Плюс Самарский;Сдача работ;Исполнительная документация;ок;офис АЭР;;
880;АЭР;24.12.17;Т Плюс Самарский;Сдача работ;КС-2,3;ок;офис АЭР;;
881;ЭА;24.12.17;ЗГАЭС-2;ПИР;отчет ППО;неокончено;офис АЭР;;
